MeasurementNumber,NZTM-mE,NZTM-mN,CO2,GroundTemperature
340,1829389,5664915,48,2.2
341,1829381,5664906,655,1.3
342,1829378,5664897,1010,0.8
343,1829380,5664897,61,0
344,1829375,5664886,43,0
345,1829374,5664879,238,0
346,1829366,5664879,43,2.5
347,1829357,5664884,86,0
348,1829352,5664887,505,4.9
349,1829344,5664893,96,0
350,1829341,5664896,2122,31.8
351,1829335,5664900,1809,35.8
352,1829329,5664888,2707,40.5
353,1829336,5664880,43,0
354,1829342,5664873,1486,45.5
355,1829351,5664873,61,0.2
356,1829361,5664870,32,7.4
357,1829368,5664867,67,6.5
358,1829381,5664861,112,1.3
359,1829390,5664851,4389,64.1
360,1829384,5664848,1010,26.1
361,1829369,5664854,374,0
362,1829355,5664864,1980,30.8
363,1829345,5664868,2576,45.4
364,1829338,5664867,7016,64.1
365,1829326,5664879,61,0
366,1829320,5664886,2667,20.7
367,1829318,5664887,2940,22.2
368,1829322,5664868,1596,38.6
369,1829317,5664874,1815,13.7
370,1829310,5664877,2804,61.9
371,1829309,5664885,1002,5.8
372,1829301,5664878,2560,0
373,1829290,5664860,553,0
374,1829296,5664852,0,0
375,1829313,5664847,0,0
376,1829328,5664843,5,2.6
377,1829340,5664833,1507,36.3
378,1829349,5664820,21,0
379,1829357,5664824,0,0
380,1829370,5664826,37,0
381,1829383,5664831,315,3.6
382,1829398,5664823,25,0.1
383,1829408,5664832,1157,7.5
384,1829418,5664843,829,3.2
385,1829413,5664857,94,2.9
386,1829404,5664866,0,0
387,1829397,5664874,278,0
388,1829390,5664890,508,0
