MeasurementNumber,NZTM-mE,NZTM-mN,CO2,GroundTemperature
103,1828987,5664774,0.00,7.40
104,1829006,5664771,0.00,9.2
105,1829011,5664798,0.00,10.7
106,1829031,5664796,82.27,11
107,1829024,5664786,39.33,11.4
108,1829019,5664778,16.15,10.9
109,1829029,5664808,2.55,9.1
110,1829027,5664818,0.00,9.5
111,1829039,5664828,0.00,9.4
112,1829042,5664817,0.00,9.5
113,1829042,5664806,46.44,10.4
114,1829059,5664820,0.00,10.8
115,1829050,5664816,10.70,9.8
116,1829067,5664824,0.00,9.6
117,1829063,5664837,0.00,9.7
118,1829074,5664848,0.00,9.7
119,1829085,5664842,0.00,14.8
120,1829096,5664849,1047.54,16.3
121,1829091,5664861,338.74,14.7
122,1829086,5664870,75.62,11.6
123,1829076,5664880,3.40,9.5
124,1829067,5664888,4.44,8.7
125,1829058,5664899,3.66,10
126,1829051,5664912,0.00,10.6
127,1829070,5664920,0.00,11.2
128,1829097,5664932,4.96,13
129,1829102,5664941,0.00,12.9
130,1829119,5664935,0.00,12.3
131,1829132,5664929,5655.46,47.2
132,1829140,5664938,84.21,17.4
133,1829147,5664949,0.00,18.5
134,1829158,5664935,0.00,15
135,1829167,5664919,0.00,13.2
136,1829153,5664922,0.00,13.2
137,1829140,5664925,0.00,16.6
138,1829128,5664927,17.69,23.9
139,1829127,5664939,0.00,12.2
140,1829117,5664921,0.00,13.3
141,1829102,5664919,7.80,14.2
142,1829091,5664920,0.00,12.8
143,1829088,5664906,21.82,14.2
144,1829103,5664907,194.78,14.2
145,1829123,5664905,220.73,24.6
146,1829135,5664906,9507.44,31.2
147,1829150,5664895,104.37,21.4
148,1829130,5664891,1461.33,23.7
149,1829112,5664879,730.46,24.5
150,1829071,5664864,0.00,13.8
151,1829117,5664847,0.00,11.8
152,1829115,5664853,2059.05,50.2
153,1829118,5664851,336.06,30.3
154,1829125,5664851,0.00,16.2
155,1829124,5664855,22.06,30
156,1829113,5664867,57.34,26
157,1829133,5664862,120.38,28.5
158,1829133,5664849,0.00,23.1
159,1829133,5664844,0.00,14.3
160,1829129,5664885,56.81,21.7
161,1829145,5664873,213.21,23.2
162,1829142,5664857,22.31,19.5
163,1829142,5664845,0.00,19.7
164,1829146,5664886,49.27,22.7
165,1829158,5664880,267.10,26.1
166,1829152,5664866,12.45,20.9
167,1829152,5664856,0.00,21.6
168,1829167,5664899,39.67,23.4
169,1829187,5664887,223.22,28.8
170,1829177,5664873,0.00,19.1
171,1829172,5664860,0.00,20.3
172,1829185,5664909,2.85,21.5
173,1829209,5664878,0.00,22.1
174,1829193,5664876,0.00,17.4
175,1829207,5664905,0.00,22.4
176,1829256,5664909,0.00,21.3
177,1829261,5664947,0.00,25.7
178,1829310,5664978,0.00,21.4
179,1829365,5664997,0.00,25.6
180,1829413,5664995,10.33,14.6
181,1829404,5664971,12.97,15.8
182,1829389,5664970,1167.43,90.4
183,1829382,5664971,846.77,15.8
184,1829362,5664975,716.99,34.5
185,1829369,5664953,84.38,17.6
186,1829373,5664935,0.00,14.1
187,1829354,5664927,0.00,16.3
188,1829346,5664945,0.00,16.4
189,1829333,5664953,42.82,21.6
190,1829313,5664954,15.06,16.1
191,1829293,5664937,0.00,16.4
192,1829299,5664917,9.51,16.6
193,1829297,5664903,4876.31,91.6
194,1829294,5664899,356.02,41.5
195,1829286,5664899,169.26,27.8
196,1829285,5664895,237.09,26.2
197,1829278,5664893,10.82,25
198,1829280,5664879,449.46,18.6
199,1829276,5664852,10.29,15.4
200,1829272,5664815,0.00,13.1
308,1829255,5664780,0.00,11.8
414,1829302,5664782,0.00,11.8
415,1829304,5664750,2141.96,47.7
416,1829295,5664742,0.00,12
417,1829310,5664745,1227.84,29.6
418,1829334,5664749,886.26,29.6
419,1829348,5664810,56.19,17.2
420,1829327,5664835,13.76,19.4
421,1829294,5664870,1130.75,22.2
422,1829295,5664889,793.37,30.6
423,1829307,5664868,12.39,30.5
424,1829300,5664884,600.66,31.5
425,1829314,5664880,220.85,24.2
426,1829320,5664866,1281.37,73.3
427,1829333,5664861,2728.28,62.7
428,1829343,5664848,2222.75,73.8
429,1829354,5664840,1345.70,39.8
430,1829370,5664842,290.09,39.2
431,1829376,5664822,2206.06,55.2
432,1829395,5664822,15.26,34.7
433,1829404,5664830,381.83,39.5
434,1829388,5664846,4331.03,80.5
435,1829368,5664858,109.01,25
436,1829345,5664874,82.90,24.6
437,1829324,5664890,1378.38,28.9
767,1829326,5664904,128.10,42.6
768,1829340,5664922,0.00,30.9
769,1829348,5664901,28.03,28.5
770,1829364,5664908,121.54,25.9
771,1829379,5664914,35.08,25.9
772,1829389,5664891,193.92,24.6
773,1829404,5664875,19.77,21
774,1829419,5664864,590.38,34.1
649,1829365,5664878,71.50,20.7
650,1829385,5664866,16.85,20.3
651,1829403,5664854,268.12,28.5
652,1829423,5664846,1.17,27.1
653,1829442,5664866,25.54,31.5
