MeasurementNumber,NZTM-mE,NZTM-mN,CO2,CH4,H2S
1,1829480,5664940,0.0,0.0,0.0159
2,1829460,5664958,0.0,0.0,0.0260
3,1829447,5664981,0.0,0.0,0.0190
4,1829423,5664971,0.0,0.0,0.0243
5,1829403,5664966,0.0,0.0,0.0214
6,1829383,5664954,1.6,0.0,0.0173
7,1829387,5664918,24.6,0.0,0.0388
8,1829394,5664901,1.7,0.0,0.0310
9,1829406,5664885,0.0,0.0,0.0000
10,1829420,5664875,156.6,0.0,0.0200
11,1829435,5664868,179.8,0.0,0.0275
12,1829444,5664858,0.0,0.0,0.0263
13,1829429,5664852,2.7,0.0,0.0263
14,1829412,5664857,813.5,0.0,0.0366
15,1829398,5664862,0.0,0.0,0.0464
16,1829391,5664869,3.4,0.0,0.0391
17,1829377,5664879,0.0,0.0,0.0320
18,1829361,5664884,3.9,0.0,0.0307
19,1829353,5664885,162.1,0.0,0.0442
20,1829340,5664884,110.9,0.0,0.0534
21,1829322,5664881,1613.7,3.1,0.0884
22,1829314,5664872,195.4,2.3,1.1389
23,1829313,5664870,134.7,1.0,1.9618
24,1829298,5664874,814.4,0.7,0.0000
25,1829288,5664862,81.6,0.0,0.0593
26,1829298,5664840,0.0,0.0,0.0205
27,1829316,5664832,0.0,0.0,0.0000
28,1829331,5664819,0.0,0.0,0.0000
29,1829335,5664834,2945.9,0.0,0.0328
30,1829351,5664816,20.7,0.0,0.0369
31,1829348,5664804,65.8,0.0,0.0364
32,1829344,5664789,522.8,0.0,0.0159
33,1829339,5664778,33.9,0.0,0.0281
34,1829337,5664771,0.0,0.0,0.0000
35,1829345,5664778,8.8,0.0,0.0258
36,1829357,5664821,9.4,0.0,0.0350
37,1829367,5664822,5.6,0.0,0.0334
38,1829380,5664825,0.0,0.0,0.0000
39,1829392,5664827,7.2,0.0,0.0356
40,1829403,5664829,46.9,0.0,0.0397
41,1829411,5664840,0.0,0.0,0.0000
42,1829420,5664850,0.0,0.0,0.0000
43,1829436,5664860,0.0,0.0,0.0000
44,1829451,5664875,189.6,0.038,0.0000
45,1829467,5664887,339.4,0.524,0.0000
46,1829475,5664900,32.9,0.0,0.0487
47,1829466,5664908,1180.6,7.8,16.4584
48,1829471,5664921,1167.8,8.1,11.1761
49,1829480,5664931,0.0,0.0,0.0000
50,1829430,5664980,0.0,0.0,0.0000
51,1829407,5664985,0.0,0.0,0.0000
52,1829398,5664996,0.0,0.0,0.0000
53,1829407,5665010,0.0,0.0,0.0000
54,1829444,5665022,0.0,0.0,0.0000
55,1829486,5664993,0.0,0.0,0.0000
56,1829490,5664960,0.0,0.0,0.0000
57,1829504,5664935,0.0,0.0,0.0000
58,1829530,5664920,0.0,0.0,0.0000
59,1829541,5664930,0.0,0.0,0.0000
60,1829566,5664941,0.0,0.0,0.0000
61,1829601,5664966,293.1,1.9,0.0255
62,1829629,5664979,0.0,0.0,0.0000
63,1829661,5664995,0.0,0.0,0.0000
64,1829681,5665007,0.0,0.0,0.0000
65,1829717,5665016,0.0,0.0,0.0000
66,1829738,5665035,0.0,0.0,0.0000
67,1829730,5665063,168.4,0.0,0.0294
68,1829718,5665074,32.3,0.0,0.0307
69,1829705,5665086,0.0,0.0,0.0000
70,1829680,5665094,0.0,0.0,0.0000
