MeasurementNumber,NZTM-mE,NZTM-mN,CO2,GroundTemperature
006,1831045,5667585,508.94,42.0
008,1831052,5667603,15.94,23.4
009,1831069,5667601,133.22,25.9
010,1831083,5667581,63.77,41.2
011,1831097,5667594,11.42,33.1
012,1831087,5667615,0.00,17.5
013,1831071,5667627,766.50,25.4
014,1831054,5667627,290.20,1.3
016,1831082,5667641,223.84,24.0
017,1831114,5667651,0.00,9.5
018,1831137,5667676,0.00,7.7
019,1831111,5667682,0.00,9.2
020b,1831092,5667687,9.32,16.8
021,1831075,5667716,57.79,18.3
022,1831094,5667728,0.00,12.7
023,1831074,5667739,26.23,19.9
024,1831081,5667762,0.00,10.7
025,1831052,5667750,29.71,33.5
026,1831029,5667756,396.33,15.5
027,1831025,5667765,328.42,20.1
028,1831035,5667780,73.31,18.1
029,1831018,5667775,108.48,14.5
030,1831002,5667763,342.93,23.4
031,1831012,5667736,9.48,30.1
032,1831031,5667703,56.34,27.4
033,1831033,5667700,23.02,21.7
034,1831021,5667728,95.88,45.8
035,1830983,5667755,36.02,18.5
036,1830977,5667777,407.36,13.9
037,1830945,5667780,501.88,10.9
038,1830932,5667762,277.34,44.8
039,1830949,5667739,16.79,18.7
040,1830965,5667712,0.00,12.2
060,1830846,5667735,20.31,22.5
061,1830867,5667765,183.29,19.1
062,1830839,5667775,273.18,13.2
063,1830860,5667792,0.00,15
064,1830842,5667798,28.16,25
065,1830870,5667813,216.31,55.1
066,1830905,5667819,29.51,12.8
068,1830877,5667860,34.92,28.2
070,1830887,5667932,0.00,19.1
071,1830905,5667944,4.33,15.4
075,1830875,5667952,8.39,22.2
