CuspID,Origin_time,Record,Mw,MwUncert,TectClass,Mech,PreferredFaultPlane,Strike,Dip,Rake,Location,HypLat,HypLon,StationLat,StationLon,HypN,HypE,StationN,StationE,LENGTH_km,WIDTH_km,Repi_km,Rhyp_km,Rjb_km,Rrup_km,Rx_km,Ry_km,Rvol_km,HypDepth_km,ZTOR_km,HWFW,SiteCode,SiteClass1170,Vs30,Vs30Uncert,Tsite,TsiteUncert,Z1,Z1Uncertainty,Directivity,Pulse_or,Pulse_T,S_Trigger_Flag,fcButterHP,f_iniLP,fmin,fmax,References,f100.0000SA_RotD50,f50.0000SA_RotD50,f33.3333SA_RotD50,f25.0000SA_RotD50,f20.0000SA_RotD50,f13.3333SA_RotD50,f10.0000SA_RotD50,f6.6667SA_RotD50,f5.0000SA_RotD50,f4.0000SA_RotD50,f3.3333SA_RotD50,f2.5000SA_RotD50,f2.0000SA_RotD50,f1.3333SA_RotD50,f1.0000SA_RotD50,f0.6667SA_RotD50,f0.5000SA_RotD50,f0.3333SA_RotD50,f0.2500SA_RotD50,f0.2000SA_RotD50,f0.1333SA_RotD50,f0.1000SA_RotD50,f100.0000SA_RotD100,f50.0000SA_RotD100,f33.3333SA_RotD100,f25.0000SA_RotD100,f20.0000SA_RotD100,f13.3333SA_RotD100,f10.0000SA_RotD100,f6.6667SA_RotD100,f5.0000SA_RotD100,f4.0000SA_RotD100,f3.3333SA_RotD100,f2.5000SA_RotD100,f2.0000SA_RotD100,f1.3333SA_RotD100,f1.0000SA_RotD100,f0.6667SA_RotD100,f0.5000SA_RotD100,f0.3333SA_RotD100,f0.2500SA_RotD100,f0.2000SA_RotD100,f0.1333SA_RotD100,f0.1000SA_RotD100,PGA_RotD50,PGA_RotD100,PGV_RotD50,PGV_RotD100
1553782,1971-08-13T14:42:41.636000Z,A71053A1,5.7,0.15,Crustal,S,1,242,83,207,special,-42.13,172.1,-42.3786,172.3329,5897058.69,2435589.3,5869623,2455066,6.51,6.51,33.64,34.99,33.13,33.79,-32.97,-4.32,0,9,5.77,fw,053A,C,391,Q3,0.27,Q3,20,Q3,0,-99999,-99999,1,0.4,18,0.68,18,Anderson_etal_1993&Dowrick_Rhoades_1998,0.056187437,0.056656967,0.057940416,0.059909889,0.062166635,0.073194878,0.076870521,0.096230011,0.101872205,0.103462243,0.101614421,0.079853631,0.054964549,0.053257573,0.032571705,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.070753939,0.071188961,0.071891788,0.072960836,0.075264256,0.089954783,0.090730827,0.102783462,0.125474878,0.127304308,0.121677578,0.102249197,0.073680858,0.065867056,0.040034634,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.056127,0.07071,0.042573,0.053299
1556608,1975-06-10T10:11:17.094000Z,K75301A2,5.62,0.15,Slab,N,1,250,56,257,special,-40.34,175.93,-40.3553,175.6152,6092087.55,2758882.27,6091232,2732094,5.9,5.9,26.73,46.53,23.88,44.21,10.02,25.47,0,38,35.54,nu,301A,D,341,Q3,0.7,Q2,60,Q3,0,-99999,-99999,1,0.4,19,0.68,19,Webb_Anderson_1998&Dowrick_Rhoades1998,0.037900941,0.038539036,0.039688359,0.041473893,0.043887715,0.054128151,0.065248035,0.066105788,0.064348492,0.049323721,0.047985199,0.043131703,0.039087991,0.025878742,0.018249079,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.043972374,0.044282532,0.044841303,0.045781436,0.047457604,0.061985777,0.07399242,0.070121775,0.074559288,0.0670141,0.06756507,0.060948694,0.053604345,0.036167123,0.020176092,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.037864,0.043987,0.023645,0.030684
1556608,1975-06-10T10:11:17.094000Z,K75340A1,5.62,0.15,Slab,N,1,250,56,257,special,-40.34,175.93,-40.3863,175.6165,6092087.55,2758882.27,6087788,2732102,5.9,5.9,27.06,46.71,24.14,44.26,6.78,26.64,0,38,35.54,nu,340A,D,283,Q3,0.96,Q3,90,Q3,0,-99999,-99999,1,0.65,18,1.105,18,Webb_Anderson_1998&Dowrick_Rhoades1998,0.049384231,0.049736095,0.050307686,0.051270863,0.052751143,0.064952363,0.073867333,0.086610556,0.105975744,0.094939234,0.086756647,0.054192242,0.042670811,0.021923449,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.063061523,0.063748525,0.064749446,0.065979481,0.067467978,0.076243308,0.090683998,0.113839174,0.131273862,0.108597639,0.12228305,0.062733535,0.053122813,0.028220635,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.049392,0.063153,0.024416,0.028186
1557438,1976-05-04T13:56:29.201000Z,A76080B1,6.51,0.15,Interface,O,1,48,47,130,special,-44.67,167.45,-44.6729,167.9264,5600506.59,2070223.23,5602634,2107939,22.44,22.44,37.67,39.08,27.88,31.04,31.31,29.45,0,10,1.79,nu,080B,C,210,Q3,0.57,Q3,30,Q3,0,-99999,-99999,1,0.2,29,0.34,29,Anderson_etal_1993&Dowrick_Rhoades_1998,0.088262152,0.088895907,0.091127163,0.092572699,0.093230515,0.096179358,0.098915419,0.126767313,0.123219963,0.134613833,0.153547198,0.174236376,0.192859716,0.095965811,0.066633825,0.027301087,0.016644454,-99999,-99999,-99999,-99999,-99999,0.098426913,0.098949897,0.100631891,0.104764107,0.107234545,0.110443755,0.114059637,0.156086814,0.158281212,0.164528753,0.186894303,0.208774912,0.235785489,0.114363554,0.093165637,0.038312503,0.019468044,-99999,-99999,-99999,-99999,-99999,0.087882,0.098438,0.089847,0.115009
1557438,1976-05-04T13:56:29.201000Z,K76070A1,6.51,0.15,Interface,O,1,48,47,130,special,-44.67,167.45,-45.4167,167.7191,5600506.59,2070223.23,5519112,2096857,22.44,22.44,85.68,86.25,77.38,79.21,85.96,-34.67,0,10,1.79,nu,TAFS,D,298,Q3,1.4,Q3,200,Q3,0,-99999,-99999,1,0.28,11,0.476,11,Anderson_etal_1993&Dowrick_Rhoades_1998,0.024410862,0.024505783,0.024626751,0.024811858,0.02511609,0.027014631,0.036439827,0.035113181,0.033934623,0.039305287,0.045539774,0.037866894,0.032118336,0.034102109,0.025207405,0.025235303,0.015925293,-99999,-99999,-99999,-99999,-99999,0.029517427,0.029600931,0.029750333,0.029986217,0.030339502,0.032882742,0.043406569,0.04709438,0.040943122,0.043898634,0.050963932,0.042829301,0.038035145,0.045733113,0.033532082,0.027533678,0.020532075,-99999,-99999,-99999,-99999,-99999,0.024409,0.029457,0.031912,0.037482
1557438,1976-05-04T13:56:29.201000Z,K76089A1,6.51,0.15,Interface,O,1,48,47,130,special,-44.67,167.45,-44.6946,169.143,5600506.59,2070223.23,5605452,2204373,22.44,22.44,133.87,134.63,124.04,125.19,93.74,103,0,10,1.79,nu,WNPS,D,330,Q3,2.1,Q3,300,Q3,0,-99999,-99999,1,0.25,15,0.425,15,Anderson_etal_1993&Dowrick_Rhoades_1998,0.031039662,0.031140058,0.031243337,0.031410084,0.03189404,0.034152925,0.038068611,0.043355517,0.048178668,0.059469867,0.050863554,0.046651057,0.048841622,0.052796377,0.041706104,0.035717655,0.019449918,-99999,-99999,-99999,-99999,-99999,0.039761632,0.039889434,0.040098232,0.040395042,0.040853629,0.04533862,0.048912212,0.056830484,0.05299001,0.065751103,0.05952276,0.055747497,0.052975549,0.05643534,0.054628105,0.040987749,0.022141746,-99999,-99999,-99999,-99999,-99999,0.031017,0.039762,0.04426,0.048661
1558224,1977-01-18T05:41:48.207000Z,A77048C1,6.02,0.15,Slab,R,1,213,68,251,special,-41.73,174.3,-41.5138,173.9572,5941084.19,2618142.66,5965463,2589883,9.4,9.4,37.28,50.49,35.45,48.97,38.74,-5.05,0,34,29.64,nu,048C,D,235,Q3,0.9,Q3,64,Q3,0,-99999,-99999,1,0.4,13,0.68,13,Webb_Anderson_1998&Dowrick_Rhoades1998,0.037002196,0.037128197,0.03732591,0.037619779,0.03815155,0.041124053,0.044290093,0.048512398,0.066950877,0.086929795,0.088476199,0.050228833,0.038277932,0.033979884,0.025474541,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.041501463,0.041694313,0.042009229,0.042460536,0.043135838,0.045772408,0.050262315,0.054212725,0.069826569,0.094495319,0.107678817,0.063875429,0.049746807,0.036361158,0.033174997,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.036924,0.041508,0.022251,0.027174
1558224,1977-01-18T05:41:48.207000Z,A77601A1,6.02,0.15,Slab,R,1,213,68,251,special,-41.73,174.3,-41.2263,174.8719,5941084.19,2618142.66,5996147,2666912,9.4,9.4,73.53,81.03,68.88,76.33,-9.15,-72.74,0,34,29.64,nu,601A,D,161,Q3,2.3,Q3,297,Q3,0,-99999,-99999,1,0.4,20,0.68,20,Webb_Anderson_1998&Dowrick_Rhoades1998,0.043792621,0.044048819,0.04452844,0.045076845,0.045422371,0.046555082,0.055832297,0.063600828,0.082905752,0.083767091,0.059066464,0.051694066,0.051862082,0.044061279,0.022639923,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.055759852,0.056128294,0.056799691,0.057875678,0.059410472,0.0649365,0.078622539,0.08588102,0.108746855,0.101615404,0.077861191,0.057167251,0.06896356,0.047503681,0.026390931,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.043685,0.055421,0.023094,0.026097
1558224,1977-01-18T05:41:48.207000Z,A77902A1,6.02,0.15,Slab,R,1,213,68,251,special,-41.73,174.3,-41.2776,174.7793,5941084.19,2618142.66,5990617,2659034,9.4,9.4,64.22,72.68,59.54,67.99,-5.56,-63.81,0,34,29.64,nu,902A,D,275,Q2,1.25,Q2,1.32E+02,Q2,0,-99999,-99999,1,0.5,20,0.85,20,Webb_Anderson_1998&Dowrick_Rhoades1998,0.081941554,0.082440499,0.08309078,0.084186343,0.086169334,0.089790762,0.115275233,0.160917312,0.145797073,0.167440893,0.161615914,0.119938552,0.10188745,0.057537691,0.025747607,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.112050788,0.112539416,0.1134468,0.115288632,0.119079386,0.121633097,0.147470529,0.188726911,0.171180811,0.212314586,0.219666942,0.168315893,0.140270273,0.080754326,0.02811199,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.081898,0.112007,0.047444,0.060139
1558224,1977-01-18T05:41:48.207000Z,A77907A1,6.02,0.15,Slab,R,1,213,68,251,special,-41.73,174.3,-41.2788,174.7785,5941084.19,2618142.66,5990481,2658964,9.4,9.4,64.07,72.55,59.39,67.86,-5.57,-63.66,0,34,29.64,nu,907A,D,250,Q2,1.2,Q2,116,Q2,0,-99999,-99999,1,0.47,18,0.799,18,Webb_Anderson_1998&Dowrick_Rhoades1998,0.079753039,0.079996552,0.080379683,0.080901463,0.08158692,0.091184456,0.107300887,0.124153231,0.139986235,0.163146527,0.155086041,0.144439392,0.1099849,0.052907836,0.024415558,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.088840158,0.089077505,0.089496665,0.090165178,0.091187323,0.095425049,0.126593197,0.135635101,0.171176427,0.177697308,0.187386359,0.163892685,0.12498942,0.057569967,0.034259336,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.079581,0.088573,0.052515,0.058943
