CuspID,Origin_time,Record,Mw,MwUncert,TectClass,Mech,PreferredFaultPlane,Strike,Dip,Rake,Location,HypLat,HypLon,StationLat,StationLon,HypN,HypE,StationN,StationE,LENGTH_km,WIDTH_km,Repi_km,Rhyp_km,Rjb_km,Rrup_km,Rx_km,Ry_km,Rvol_km,HypDepth_km,ZTOR_km,HWFW,SiteCode,SiteClass1170,Vs30,Vs30Uncert,Tsite,TsiteUncert,Z1,Z1Uncertainty,Directivity,Pulse_or,Pulse_T,S_Trigger_Flag,fcButterHP,f_iniLP,fmin,fmax,References,f100.0000SA_GeoMean,f50.0000SA_GeoMean,f33.3333SA_GeoMean,f25.0000SA_GeoMean,f20.0000SA_GeoMean,f13.3333SA_GeoMean,f10.0000SA_GeoMean,f6.6667SA_GeoMean,f5.0000SA_GeoMean,f4.0000SA_GeoMean,f3.3333SA_GeoMean,f2.5000SA_GeoMean,f2.0000SA_GeoMean,f1.3333SA_GeoMean,f1.0000SA_GeoMean,f0.6667SA_GeoMean,f0.5000SA_GeoMean,f0.3333SA_GeoMean,f0.2500SA_GeoMean,f0.2000SA_GeoMean,f0.1333SA_GeoMean,f0.1000SA_GeoMean,PGA_Geomean,PGV_Geomean
1553782,1971-08-13T14:42:41.636000Z,A71053A1,5.7,0.15,Crustal,S,1,242,83,207,special,-42.13,172.1,-42.3786,172.3329,5897058.69,2435589.3,5869623,2455066,6.51,6.51,33.64,34.99,33.13,33.79,-32.97,-4.32,0,9,5.77,fw,053A,C,391,Q3,0.27,Q3,20,Q3,0,-99999,-99999,1,0.4,18,0.68,18,Anderson_etal_1993&Dowrick_Rhoades_1998,0.057312787,0.057778482,0.058569497,0.060108836,0.063790505,0.092142157,0.111110822,0.133440401,0.173540996,0.18309742,0.142312987,0.112178897,0.064833902,0.081484707,0.043642511,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.057325,0.044926
1556608,1975-06-10T10:11:17.094000Z,K75301A2,5.62,0.15,Slab,N,1,250,56,257,special,-40.34,175.93,-40.3553,175.6152,6092087.55,2758882.27,6091232,2732094,5.9,5.9,26.73,46.53,23.88,44.21,10.02,25.47,0,38,35.54,nu,301A,D,341,Q3,0.7,Q2,60,Q3,0,-99999,-99999,1,0.4,19,0.68,19,Webb_Anderson_1998&Dowrick_Rhoades1998,0.038205611,0.038630987,0.039359096,0.040600151,0.043430714,0.063037301,0.092423213,0.098715161,0.118975221,0.070449332,0.061275778,0.058205436,0.043773523,0.031640665,0.027944625,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.03818,0.021695
1556608,1975-06-10T10:11:17.094000Z,K75340A1,5.62,0.15,Slab,N,1,250,56,257,special,-40.34,175.93,-40.3863,175.6165,6092087.55,2758882.27,6087788,2732102,5.9,5.9,27.06,46.71,24.14,44.26,6.78,26.64,0,38,35.54,nu,340A,D,283,Q3,0.96,Q3,90,Q3,0,-99999,-99999,1,0.65,18,1.105,18,Webb_Anderson_1998&Dowrick_Rhoades1998,0.054348642,0.054855326,0.055826102,0.057311922,0.059056149,0.095208725,0.102097828,0.110254954,0.182036543,0.136738276,0.148718555,0.069771677,0.070056244,0.024893306,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.054372,0.024764
1557438,1976-05-04T13:56:29.201000Z,A76080B1,6.51,0.15,Interface,O,1,48,47,130,special,-44.67,167.45,-44.6729,167.9264,5600506.59,2070223.23,5602634,2107939,22.44,22.44,37.67,39.08,27.88,31.04,31.31,29.45,0,10,1.79,nu,080B,C,210,Q3,0.57,Q3,30,Q3,0,-99999,-99999,1,0.2,29,0.34,29,Anderson_etal_1993&Dowrick_Rhoades_1998,0.088100162,0.088852822,0.091167132,0.095551584,0.101053774,0.104868697,0.125716095,0.170859508,0.139857029,0.156198061,0.22921606,0.224505341,0.317877608,0.1224091,0.10151845,0.038789228,0.021767687,-99999,-99999,-99999,-99999,-99999,0.087535,0.091316
1557438,1976-05-04T13:56:29.201000Z,K76070A1,6.51,0.15,Interface,O,1,48,47,130,special,-44.67,167.45,-45.4167,167.7191,5600506.59,2070223.23,5519112,2096857,22.44,22.44,85.68,86.25,77.38,79.21,85.96,-34.67,0,10,1.79,nu,TAFS,D,298,Q3,1.4,Q3,200,Q3,0,-99999,-99999,1,0.28,11,0.476,11,Anderson_etal_1993&Dowrick_Rhoades_1998,0.024420641,0.024512007,0.024630203,0.024820187,0.02507543,0.026400756,0.053411582,0.057979815,0.052477984,0.050478454,0.069105763,0.05453653,0.047897934,0.053689722,0.039757974,0.042756027,0.029538327,-99999,-99999,-99999,-99999,-99999,0.024408,0.030391
1557438,1976-05-04T13:56:29.201000Z,K76089A1,6.51,0.15,Interface,O,1,48,47,130,special,-44.67,167.45,-44.6946,169.143,5600506.59,2070223.23,5605452,2204373,22.44,22.44,133.87,134.63,124.04,125.19,93.74,103,0,10,1.79,nu,WNPS,D,330,Q3,2.1,Q3,300,Q3,0,-99999,-99999,1,0.25,15,0.425,15,Anderson_etal_1993&Dowrick_Rhoades_1998,0.034166687,0.034246931,0.034391094,0.03461068,0.034913245,0.040225936,0.047270594,0.055913352,0.069089142,0.096853191,0.065239926,0.057788556,0.056264692,0.08929956,0.069979357,0.060953045,0.029662143,-99999,-99999,-99999,-99999,-99999,0.034099,0.042642
1558224,1977-01-18T05:41:48.207000Z,A77048C1,6.02,0.15,Slab,R,1,213,68,251,special,-41.73,174.3,-41.5138,173.9572,5941084.19,2618142.66,5965463,2589883,9.4,9.4,37.28,50.49,35.45,48.97,38.74,-5.05,0,34,29.64,nu,048C,D,235,Q3,0.9,Q3,64,Q3,0,-99999,-99999,1,0.4,13,0.68,13,Webb_Anderson_1998&Dowrick_Rhoades1998,0.037077984,0.037210331,0.037440606,0.037756987,0.038202223,0.042425736,0.04758927,0.051514472,0.091255239,0.136284142,0.145006483,0.071027691,0.071207197,0.046808709,0.043506618,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.037001,0.021684
1558224,1977-01-18T05:41:48.207000Z,A77601A1,6.02,0.15,Slab,R,1,213,68,251,special,-41.73,174.3,-41.2263,174.8719,5941084.19,2618142.66,5996147,2666912,9.4,9.4,73.53,81.03,68.88,76.33,-9.15,-72.74,0,34,29.64,nu,601A,D,161,Q3,2.3,Q3,297,Q3,0,-99999,-99999,1,0.4,20,0.68,20,Webb_Anderson_1998&Dowrick_Rhoades1998,0.042838738,0.043132017,0.043630159,0.04454721,0.045087039,0.046959054,0.064627118,0.069396865,0.107539889,0.13864309,0.079369123,0.0691735,0.074625992,0.070907055,0.033406642,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.042719,0.02302
1558224,1977-01-18T05:41:48.207000Z,A77902A1,6.02,0.15,Slab,R,1,213,68,251,special,-41.73,174.3,-41.2776,174.7793,5941084.19,2618142.66,5990617,2659034,9.4,9.4,64.22,72.68,59.54,67.99,-5.56,-63.81,0,34,29.64,nu,902A,D,275,Q2,1.25,Q2,1.32E+02,Q2,0,-99999,-99999,1,0.5,20,0.85,20,Webb_Anderson_1998&Dowrick_Rhoades1998,0.081034965,0.081513697,0.08234961,0.084038777,0.089591413,0.095231059,0.144433909,0.222618717,0.232361697,0.293223462,0.221531417,0.174420516,0.137729102,0.084873138,0.035973246,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.080821,0.04649
1558224,1977-01-18T05:41:48.207000Z,A77907A1,6.02,0.15,Slab,R,1,213,68,251,special,-41.73,174.3,-41.2788,174.7785,5941084.19,2618142.66,5990481,2658964,9.4,9.4,64.07,72.55,59.39,67.86,-5.57,-63.66,0,34,29.64,nu,907A,D,250,Q2,1.2,Q2,116,Q2,0,-99999,-99999,1,0.47,18,0.799,18,Webb_Anderson_1998&Dowrick_Rhoades1998,0.085251234,0.085513729,0.085991332,0.086704114,0.087812004,0.099408172,0.135157153,0.155346776,0.213129116,0.246799506,0.22001815,0.236664981,0.141608527,0.081115923,0.032789078,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.085164,0.055986
