CuspID,Origin_time,Record,Mw,MwUncert,TectClass,Mech,PreferredFaultPlane,Strike,Dip,Rake,Location,HypLat,HypLon,StationLat,StationLon,HypN,HypE,StationN,StationE,LENGTH_km,WIDTH_km,Repi_km,Rhyp_km,Rjb_km,Rrup_km,Rx_km,Ry_km,Rvol_km,HypDepth_km,ZTOR_km,HWFW,SiteCode,SiteClass1170,Vs30,Vs30Uncert,Tsite,TsiteUncert,Z1,Z1Uncertainty,Directivity,Pulse_or,Pulse_T,S_Trigger_Flag,fcButterHP,f_iniLP,fmin,fmax,References,f100.0000SA_LHC,f50.0000SA_LHC,f33.3333SA_LHC,f25.0000SA_LHC,f20.0000SA_LHC,f13.3333SA_LHC,f10.0000SA_LHC,f6.6667SA_LHC,f5.0000SA_LHC,f4.0000SA_LHC,f3.3333SA_LHC,f2.5000SA_LHC,f2.0000SA_LHC,f1.3333SA_LHC,f1.0000SA_LHC,f0.6667SA_LHC,f0.5000SA_LHC,f0.3333SA_LHC,f0.2500SA_LHC,f0.2000SA_LHC,f0.1333SA_LHC,f0.1000SA_LHC,PGA_LHC,PGV_LHC
1553782,1971-08-13T14:42:41.636000Z,A71053A1,5.7,0.15,Crustal,S,1,242,83,207,special,-42.13,172.1,-42.3786,172.3329,5897058.69,2435589.3,5869623,2455066,6.51,6.51,33.64,34.99,33.13,33.79,-32.97,-4.32,0,9,5.77,fw,053A,C,391,Q3,0.27,Q3,20,Q3,0,-99999,-99999,1,0.4,18,0.68,18,Anderson_etal_1993&Dowrick_Rhoades_1998,0.059198912,0.05945354,0.0597486,0.060183478,0.067258113,0.093397456,0.128437925,0.170197874,0.185671769,0.199578847,0.142939795,0.129435626,0.068667323,0.120349801,0.049610051,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.059195,0.04953
1556608,1975-06-10T10:11:17.094000Z,K75301A2,5.62,0.15,Slab,N,1,250,56,257,special,-40.34,175.93,-40.3553,175.6152,6092087.55,2758882.27,6091232,2732094,5.9,5.9,26.73,46.53,23.88,44.21,10.02,25.47,0,38,35.54,nu,301A,D,341,Q3,0.7,Q2,60,Q3,0,-99999,-99999,1,0.4,19,0.68,19,Webb_Anderson_1998&Dowrick_Rhoades1998,0.040708433,0.040963175,0.041401267,0.042173487,0.044821973,0.064263189,0.103568757,0.110317445,0.135307869,0.078313139,0.080895447,0.083798891,0.076865836,0.044861635,0.033384317,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.040683,0.03021
1556608,1975-06-10T10:11:17.094000Z,K75340A1,5.62,0.15,Slab,N,1,250,56,257,special,-40.34,175.93,-40.3863,175.6165,6092087.55,2758882.27,6087788,2732102,5.9,5.9,27.06,46.71,24.14,44.26,6.78,26.64,0,38,35.54,nu,340A,D,283,Q3,0.96,Q3,90,Q3,0,-99999,-99999,1,0.65,18,1.105,18,Webb_Anderson_1998&Dowrick_Rhoades1998,0.063103517,0.06365055,0.06472053,0.066157731,0.067057191,0.104449949,0.121198964,0.147332104,0.238206269,0.160456717,0.213908875,0.07800865,0.08005205,0.035798118,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.063129,0.02678
1557438,1976-05-04T13:56:29.201000Z,A76080B1,6.51,0.15,Interface,O,1,48,47,130,special,-44.67,167.45,-44.6729,167.9264,5600506.59,2070223.23,5602634,2107939,22.44,22.44,37.67,39.08,27.88,31.04,31.31,29.45,0,10,1.79,nu,080B,C,210,Q3,0.57,Q3,30,Q3,0,-99999,-99999,1,0.2,29,0.34,29,Anderson_etal_1993&Dowrick_Rhoades_1998,0.092460015,0.093037642,0.094645558,0.105180212,0.114618113,0.109821514,0.130850733,0.182007046,0.147887565,0.169060078,0.248240032,0.263282178,0.33974458,0.131622414,0.12936987,0.041650694,0.026496316,-99999,-99999,-99999,-99999,-99999,0.092457,0.09838
1557438,1976-05-04T13:56:29.201000Z,K76070A1,6.51,0.15,Interface,O,1,48,47,130,special,-44.67,167.45,-45.4167,167.7191,5600506.59,2070223.23,5519112,2096857,22.44,22.44,85.68,86.25,77.38,79.21,85.96,-34.67,0,10,1.79,nu,TAFS,D,298,Q3,1.4,Q3,200,Q3,0,-99999,-99999,1,0.28,11,0.476,11,Anderson_etal_1993&Dowrick_Rhoades_1998,0.024621347,0.024659726,0.024700462,0.024905312,0.025381168,0.028061573,0.0586217,0.05923681,0.060347952,0.053834645,0.084836227,0.057754992,0.050716022,0.058360612,0.041656679,0.046790685,0.031397731,-99999,-99999,-99999,-99999,-99999,0.024597,0.03387
1557438,1976-05-04T13:56:29.201000Z,K76089A1,6.51,0.15,Interface,O,1,48,47,130,special,-44.67,167.45,-44.6946,169.143,5600506.59,2070223.23,5605452,2204373,22.44,22.44,133.87,134.63,124.04,125.19,93.74,103,0,10,1.79,nu,WNPS,D,330,Q3,2.1,Q3,300,Q3,0,-99999,-99999,1,0.25,15,0.425,15,Anderson_etal_1993&Dowrick_Rhoades_1998,0.037683662,0.037828813,0.038059088,0.038418718,0.038985916,0.050527226,0.051952802,0.065982458,0.069281275,0.103459405,0.072501226,0.060917935,0.074108207,0.089554592,0.099678768,0.062857101,0.032664069,-99999,-99999,-99999,-99999,-99999,0.037533,0.04556
1558224,1977-01-18T05:41:48.207000Z,A77048C1,6.02,0.15,Slab,R,1,213,68,251,special,-41.73,174.3,-41.5138,173.9572,5941084.19,2618142.66,5965463,2589883,9.4,9.4,37.28,50.49,35.45,48.97,38.74,-5.05,0,34,29.64,nu,048C,D,235,Q3,0.9,Q3,64,Q3,0,-99999,-99999,1,0.4,13,0.68,13,Webb_Anderson_1998&Dowrick_Rhoades1998,0.038159476,0.03827537,0.038491126,0.038774763,0.03916607,0.04288848,0.050775301,0.054392379,0.108407035,0.140891631,0.207711922,0.075057981,0.091069533,0.053574623,0.05102252,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.038165,0.02221
1558224,1977-01-18T05:41:48.207000Z,A77601A1,6.02,0.15,Slab,R,1,213,68,251,special,-41.73,174.3,-41.2263,174.8719,5941084.19,2618142.66,5996147,2666912,9.4,9.4,73.53,81.03,68.88,76.33,-9.15,-72.74,0,34,29.64,nu,601A,D,161,Q3,2.3,Q3,297,Q3,0,-99999,-99999,1,0.4,20,0.68,20,Webb_Anderson_1998&Dowrick_Rhoades1998,0.044386022,0.044638338,0.045018278,0.045717015,0.046123502,0.047520041,0.079593296,0.072825697,0.124262799,0.153897513,0.094983402,0.072357821,0.12694378,0.088544784,0.039180328,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.044139,0.02538
1558224,1977-01-18T05:41:48.207000Z,A77902A1,6.02,0.15,Slab,R,1,213,68,251,special,-41.73,174.3,-41.2776,174.7793,5941084.19,2618142.66,5990617,2659034,9.4,9.4,64.22,72.68,59.54,67.99,-5.56,-63.81,0,34,29.64,nu,902A,D,275,Q2,1.25,Q2,1.32E+02,Q2,0,-99999,-99999,1,0.5,20,0.85,20,Webb_Anderson_1998&Dowrick_Rhoades1998,0.085186478,0.085455239,0.085877073,0.086862362,0.091031101,0.09558359,0.171247009,0.244584893,0.232766748,0.324290541,0.278470925,0.189605712,0.151481894,0.100999743,0.042752615,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.084862,0.05232
1558224,1977-01-18T05:41:48.207000Z,A77907A1,6.02,0.15,Slab,R,1,213,68,251,special,-41.73,174.3,-41.2788,174.7785,5941084.19,2618142.66,5990481,2658964,9.4,9.4,64.07,72.55,59.39,67.86,-5.57,-63.66,0,34,29.64,nu,907A,D,250,Q2,1.2,Q2,116,Q2,0,-99999,-99999,1,0.47,18,0.799,18,Webb_Anderson_1998&Dowrick_Rhoades1998,0.088769662,0.08901517,0.089451973,0.090119794,0.091182618,0.104521159,0.151567652,0.184745323,0.291611625,0.258225022,0.260462908,0.259427171,0.156112829,0.087386129,0.043720331,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.088573,0.05701
