CuspID,Origin_time,Record,Mw,MwUncert,TectClass,Mech,PreferredFaultPlane,Strike,Dip,Rake,Location,HypLat,HypLon,StationLat,StationLon,HypN,HypE,StationN,StationE,LENGTH_km,WIDTH_km,Repi_km,Rhyp_km,Rjb_km,Rrup_km,Rx_km,Ry_km,Rvol_km,HypDepth_km,ZTOR_km,HWFW,SiteCode,SiteClass1170,Vs30,Vs30Uncert,Tsite,TsiteUncert,Z1,Z1Uncertainty,Directivity,Pulse_or,Pulse_T,S_Trigger_Flag,fcButterHP,f_iniLP,fmin,fmax,References,TotalDuration,D5_75_H1_sec,D5_75_H2_sec,D5_75_GM_sec,D5_95_H1_sec,D5_95_H2_sec,D5_95_GM_sec,D20_80_H1_sec,D20_80_H2_sec,D20_80_GM_sec
1553782,1971-08-13T14:42:41.636000Z,A71053A1,5.7,0.15,Crustal,S,1,242,83,207,special,-42.13,172.1,-42.3786,172.3329,5897058.69,2435589.3,5869623,2455066,6.51,6.51,33.64,34.99,33.13,33.79,-32.97,-4.32,0,9,5.77,fw,053A,C,391,Q3,0.27,Q3,20,Q3,0,-99999,-99999,1,0.4,18,0.68,18,Anderson_etal_1993&Dowrick_Rhoades_1998,42.09,3.96,3.33,3.63,12.02,11.29,11.65,3.93,2.83,3.33
1556608,1975-06-10T10:11:17.094000Z,K75301A2,5.62,0.15,Slab,N,1,250,56,257,special,-40.34,175.93,-40.3553,175.6152,6092087.55,2758882.27,6091232,2732094,5.9,5.9,26.73,46.53,23.88,44.21,10.02,25.47,0,38,35.54,nu,301A,D,341,Q3,0.7,Q2,60,Q3,0,-99999,-99999,1,0.4,19,0.68,19,Webb_Anderson_1998&Dowrick_Rhoades1998,25.96,3.22,2.09,2.59,6.9,6.19,6.54,2.84,2.43,2.63
1556608,1975-06-10T10:11:17.094000Z,K75340A1,5.62,0.15,Slab,N,1,250,56,257,special,-40.34,175.93,-40.3863,175.6165,6092087.55,2758882.27,6087788,2732102,5.9,5.9,27.06,46.71,24.14,44.26,6.78,26.64,0,38,35.54,nu,340A,D,283,Q3,0.96,Q3,90,Q3,0,-99999,-99999,1,0.65,18,1.105,18,Webb_Anderson_1998&Dowrick_Rhoades1998,52.58,2.63,5.92,3.95,10.94,14.93,12.78,2.67,5.69,3.9
1557438,1976-05-04T13:56:29.201000Z,A76080B1,6.51,0.15,Interface,O,1,48,47,130,special,-44.67,167.45,-44.6729,167.9264,5600506.59,2070223.23,5602634,2107939,22.44,22.44,37.67,39.08,27.88,31.04,31.31,29.45,0,10,1.79,nu,080B,C,210,Q3,0.57,Q3,30,Q3,0,-99999,-99999,1,0.2,29,0.34,29,Anderson_etal_1993&Dowrick_Rhoades_1998,40.99,3.15,4.1,3.59,9.71,10.77,10.23,3.08,3.9,3.47
1557438,1976-05-04T13:56:29.201000Z,K76070A1,6.51,0.15,Interface,O,1,48,47,130,special,-44.67,167.45,-45.4167,167.7191,5600506.59,2070223.23,5519112,2096857,22.44,22.44,85.68,86.25,77.38,79.21,85.96,-34.67,0,10,1.79,nu,TAFS,D,298,Q3,1.4,Q3,200,Q3,0,-99999,-99999,1,0.28,11,0.476,11,Anderson_etal_1993&Dowrick_Rhoades_1998,69.67,17.39,17.42,17.4,39.68,38.39,39.03,17.22,17.64,17.43
1557438,1976-05-04T13:56:29.201000Z,K76089A1,6.51,0.15,Interface,O,1,48,47,130,special,-44.67,167.45,-44.6946,169.143,5600506.59,2070223.23,5605452,2204373,22.44,22.44,133.87,134.63,124.04,125.19,93.74,103,0,10,1.79,nu,WNPS,D,330,Q3,2.1,Q3,300,Q3,0,-99999,-99999,1,0.25,15,0.425,15,Anderson_etal_1993&Dowrick_Rhoades_1998,52.23,15.22,11.97,13.5,29.03,18.52,23.19,14.44,11.28,12.76
1558224,1977-01-18T05:41:48.207000Z,A77048C1,6.02,0.15,Slab,R,1,213,68,251,special,-41.73,174.3,-41.5138,173.9572,5941084.19,2618142.66,5965463,2589883,9.4,9.4,37.28,50.49,35.45,48.97,38.74,-5.05,0,34,29.64,nu,048C,D,235,Q3,0.9,Q3,64,Q3,0,-99999,-99999,1,0.4,13,0.68,13,Webb_Anderson_1998&Dowrick_Rhoades1998,54.47,11.99,9.95,10.92,23.6,27.22,25.35,8.06,6.96,7.49
1558224,1977-01-18T05:41:48.207000Z,A77601A1,6.02,0.15,Slab,R,1,213,68,251,special,-41.73,174.3,-41.2263,174.8719,5941084.19,2618142.66,5996147,2666912,9.4,9.4,73.53,81.03,68.88,76.33,-9.15,-72.74,0,34,29.64,nu,601A,D,161,Q3,2.3,Q3,297,Q3,0,-99999,-99999,1,0.4,20,0.68,20,Webb_Anderson_1998&Dowrick_Rhoades1998,48.42,7.47,12.18,9.54,18.86,25.86,22.08,4.45,11.28,7.08
1558224,1977-01-18T05:41:48.207000Z,A77902A1,6.02,0.15,Slab,R,1,213,68,251,special,-41.73,174.3,-41.2776,174.7793,5941084.19,2618142.66,5990617,2659034,9.4,9.4,64.22,72.68,59.54,67.99,-5.56,-63.81,0,34,29.64,nu,902A,D,275,Q2,1.25,Q2,1.32E+02,Q2,0,-99999,-99999,1,0.5,20,0.85,20,Webb_Anderson_1998&Dowrick_Rhoades1998,49.24,2.61,2.95,2.77,12.86,8.08,10.19,1.82,2.62,2.18
1558224,1977-01-18T05:41:48.207000Z,A77907A1,6.02,0.15,Slab,R,1,213,68,251,special,-41.73,174.3,-41.2788,174.7785,5941084.19,2618142.66,5990481,2658964,9.4,9.4,64.07,72.55,59.39,67.86,-5.57,-63.66,0,34,29.64,nu,907A,D,250,Q2,1.2,Q2,116,Q2,0,-99999,-99999,1,0.47,18,0.799,18,Webb_Anderson_1998&Dowrick_Rhoades1998,49.25,1.67,2.45,2.02,8.26,8.4,8.33,1.59,1.48,1.53
